celltype	ExpressionInThisCellType(TPM)	FoldEnrichmentOverNextBestCellType	geneID	geneType	geneStatus	GeneID_human_gencode21	GeneID_human	GeneName	GeneID_mouse	Identity	Confidence	geneID_expressionMatrixID	WGCNAModuleID
astrocyte	114.873498748688	21.126091681396	ENSMUSG00000048148.12	protein_coding	KNOWN	ENSG00000188039.11	ENSG00000188039	NWD1	ENSMUSG00000048148	74	1	ENSG00000188039|NWD1	ME3
astrocyte	70.9016934909618	12.4583423877335	ENSMUSG00000025537.8	protein_coding	KNOWN	ENSG00000164776.7	ENSG00000164776	PHKG1	ENSMUSG00000025537	86	1	ENSG00000164776|PHKG1	ME3
astrocyte	1568.88906449283	7.18262291178943	ENSMUSG00000028517.8	protein_coding	KNOWN	ENSG00000162407.8	ENSG00000162407	PPAP2B	ENSMUSG00000028517	95	1	ENSG00000162407|PPAP2B	ME3
astrocyte	38.7927939600714	6.16162218991378	ENSMUSG00000050423.10	protein_coding	KNOWN	ENSG00000219607.3	ENSG00000219607	PPP1R3G	ENSMUSG00000050423	67	1	ENSG00000219607|PPP1R3G	ME3
astrocyte	96.951299617113	13.7046715435223	ENSMUSG00000059336.10	protein_coding	KNOWN	ENSG00000141469.14	ENSG00000141469	SLC14A1	ENSMUSG00000059336	81	1	ENSG00000141469|SLC14A1	ME3
astrocyte	2241.09173537264	6.87322573182784	ENSMUSG00000005089.11	protein_coding	KNOWN	ENSG00000110436.9	ENSG00000110436	SLC1A2	ENSMUSG00000005089	95	1	ENSG00000110436|SLC1A2	ME3
astrocyte	3880.27850333095	11.817675685401	ENSMUSG00000005360.10	protein_coding	KNOWN	ENSG00000079215.11	ENSG00000079215	SLC1A3	ENSMUSG00000005360	97	1	ENSG00000079215|SLC1A3	ME3
astrocyte	204.687896983539	10.0560008098454	ENSMUSG00000004902.6	protein_coding	KNOWN	ENSG00000182902.11	ENSG00000182902	SLC25A18	ENSMUSG00000004902	88	1	ENSG00000182902|SLC25A18	ME3
astrocyte	389.905568703598	12.9666314668862	ENSMUSG00000031808.6	protein_coding	KNOWN	ENSG00000130304.14	ENSG00000130304	SLC27A1	ENSMUSG00000031808	89	1	ENSG00000130304|SLC27A1	ME3
astrocyte	246.736882137248	8.18536058409686	ENSMUSG00000036949.12	protein_coding	KNOWN	ENSG00000148482.9	ENSG00000148482	SLC39A12	ENSMUSG00000036949	77	1	ENSG00000148482|SLC39A12	ME3
astrocyte	915.233280097777	8.8295745718911	ENSMUSG00000030495.8	protein_coding	KNOWN	ENSG00000130876.9	ENSG00000130876	SLC7A10	ENSMUSG00000030495	93	1	ENSG00000130876|SLC7A10	ME3
astrocyte	65.2745191275345	10.5304961380044	ENSMUSG00000031596.11	protein_coding	KNOWN	ENSG00000003989.14	ENSG00000003989	SLC7A2	ENSMUSG00000031596	86	1	ENSG00000003989|SLC7A2	ME3
astrocyte	8785.02589727895	7.63825174282166	ENSMUSG00000029309.3	protein_coding	KNOWN	ENSG00000152583.10	ENSG00000152583	SPARCL1	ENSMUSG00000029309	63	1	ENSG00000152583|SPARCL1	ME3
astrocyte	384.274821262668	5.24621381416532	ENSMUSG00000020538.11	protein_coding	KNOWN	ENSG00000072310.14	ENSG00000072310	SREBF1	ENSMUSG00000020538	77	1	ENSG00000072310|SREBF1	ME3
astrocyte	393.931078731047	6.32140323769334	ENSMUSG00000019437.13	protein_coding	KNOWN	ENSG00000160606.8	ENSG00000160606	TLCD1	ENSMUSG00000019437	87	1	ENSG00000160606|TLCD1	ME3
astrocyte	20.8164674521038	7.16363993099781	ENSMUSG00000073988.9	protein_coding	KNOWN	ENSG00000137561.4	ENSG00000137561	TTPA	ENSMUSG00000073988	89	1	ENSG00000137561|TTPA	ME3
astrocyte	23.0850886653852	5.66540024526296	ENSMUSG00000040740.7	protein_coding	KNOWN	ENSG00000162461.7	ENSG00000162461	SLC25A34	ENSMUSG00000040740	88	1	ENSG00000162461|SLC25A34	ME4
astrocyte	27.4125433217398	8.63780631645298	ENSMUSG00000081683.5	protein_coding	KNOWN	ENSG00000111432.4	ENSG00000111432	FZD10	ENSMUSG00000081683	93	1	ENSG00000111432|FZD10	ME48
astrocyte	67.1334773198483	7.27806206722892	ENSMUSG00000037784.10	protein_coding	KNOWN	ENSG00000158163.12	ENSG00000158163	DZIP1L	ENSMUSG00000037784	76	1	ENSG00000158163|DZIP1L	ME5
astrocyte	58.0610278686393	5.31785209285474	ENSMUSG00000045934.11	protein_coding	KNOWN	ENSG00000014914.17	ENSG00000014914	MTMR11	ENSMUSG00000045934	85	1	ENSG00000014914|MTMR11	ME51
astrocyte	56.4924207346826	7.67501510980204	ENSMUSG00000035275.10	protein_coding	KNOWN	ENSG00000162437.12	ENSG00000162437	RAVER2	ENSMUSG00000035275	77	1	ENSG00000162437|RAVER2	ME51
astrocyte	392.129169995991	11.7349351862944	ENSMUSG00000003974.5	protein_coding	KNOWN	ENSG00000198822.8	ENSG00000198822	GRM3	ENSMUSG00000003974	97	1	ENSG00000198822|GRM3	ME53
astrocyte	69.7463127498808	25.0980314082387	ENSMUSG00000026173.11	protein_coding	KNOWN	ENSG00000115556.11	ENSG00000115556	PLCD4	ENSMUSG00000026173	75	1	ENSG00000115556|PLCD4	ME56
astrocyte	335.880360022447	5.75532192748335	ENSMUSG00000037697.14	protein_coding	KNOWN	ENSG00000100523.12	ENSG00000100523	DDHD1	ENSMUSG00000037697	85	1	ENSG00000100523|DDHD1	ME6
astrocyte	129.408246032496	10.3357910436415	ENSMUSG00000026614.6	protein_coding	KNOWN	ENSG00000196660.8	ENSG00000196660	SLC30A10	ENSMUSG00000026614	78	1	ENSG00000196660|SLC30A10	ME60
astrocyte	137.543760295893	5.12648373216177	ENSMUSG00000000184.9	protein_coding	KNOWN	ENSG00000118971.5	ENSG00000118971	CCND2	ENSMUSG00000000184	92	1	ENSG00000118971|CCND2	ME62
astrocyte	41.9699289776522	13.3197879261417	ENSMUSG00000028179.11	protein_coding	KNOWN	ENSG00000116761.9	ENSG00000116761	CTH	ENSMUSG00000028179	84	1	ENSG00000116761|CTH	ME62
astrocyte	28.0459773178434	10.8834348059738	ENSMUSG00000096753.3	protein_coding	KNOWN	ENSG00000140067.6	ENSG00000140067	FAM181A	ENSMUSG00000096753	63	1	ENSG00000140067|FAM181A	ME62
astrocyte	71.8941778825725	13.0037986579173	ENSMUSG00000041423.12	protein_coding	KNOWN	ENSG00000160781.13	ENSG00000160781	PAQR6	ENSMUSG00000041423	40	1	ENSG00000160781|PAQR6	ME7
CA1_pyramidalNeuron	18.1487170850171	8.29061947316715	ENSMUSG00000062296.4	protein_coding	KNOWN	ENSG00000168016.11	ENSG00000168016	TRANK1	ENSMUSG00000062296	82	1	ENSG00000168016|TRANK1	ME0
CA1_pyramidalNeuron	12.8978922251333	13.2916212435003	ENSMUSG00000020892.6	protein_coding	KNOWN	ENSG00000179148.7	ENSG00000179148	ALOXE3	ENSMUSG00000020892	75	1	ENSG00000179148|ALOXE3	ME10
CA1_pyramidalNeuron	60.3375690765194	19.8293491970373	ENSMUSG00000029651.12	protein_coding	KNOWN	ENSG00000132938.16	ENSG00000132938	MTUS2	ENSMUSG00000029651	68	1	ENSG00000132938|MTUS2	ME10
CA1_pyramidalNeuron	61.3493056490824	15.1889690204022	ENSMUSG00000037541.15	protein_coding	KNOWN	ENSG00000162105.14	ENSG00000162105	SHANK2	ENSMUSG00000037541	59	1	ENSG00000162105|SHANK2	ME10
CA1_pyramidalNeuron	323.683342038475	7.2689341919115	ENSMUSG00000004151.12	protein_coding	KNOWN	ENSG00000006468.11	ENSG00000006468	ETV1	ENSMUSG00000004151	98	1	ENSG00000006468|ETV1	ME11
CA1_pyramidalNeuron	113.21942762669	7.20480151446685	ENSMUSG00000038020.5	protein_coding	KNOWN	ENSG00000108352.9	ENSG00000108352	RAPGEFL1	ENSMUSG00000038020	96	1	ENSG00000108352|RAPGEFL1	ME12
CA1_pyramidalNeuron	30.6453654590096	8.35235250235079	ENSMUSG00000021779.12	protein_coding	KNOWN	ENSG00000151090.15	ENSG00000151090	THRB	ENSMUSG00000021779	82	1	ENSG00000151090|THRB	ME12
CA1_pyramidalNeuron	39.6292710001078	8.84279193669805	ENSMUSG00000035045.13	protein_coding	KNOWN	ENSG00000102053.12	ENSG00000102053	ZC3H12B	ENSMUSG00000035045	91	1	ENSG00000102053|ZC3H12B	ME12
CA1_pyramidalNeuron	97.1493550068193	6.50649053907423	ENSMUSG00000033009.11	protein_coding	KNOWN	ENSG00000087263.14	ENSG00000087263	OGFOD1	ENSMUSG00000033009	83	1	ENSG00000087263|OGFOD1	ME18
CA1_pyramidalNeuron	20.6037121017806	6.62786428758247	ENSMUSG00000071855.4	protein_coding	KNOWN	ENSG00000164221.10	ENSG00000164221	CCDC112	ENSMUSG00000071855	85	1	ENSG00000164221|CCDC112	ME2
CA1_pyramidalNeuron	974.836092899328	5.29744454133394	ENSMUSG00000018474.13	protein_coding	KNOWN	ENSG00000170004.14	ENSG00000170004	CHD3	ENSMUSG00000018474	97	1	ENSG00000170004|CHD3	ME2
CA1_pyramidalNeuron	334.689211695428	9.88190699279288	ENSMUSG00000030584.9	protein_coding	KNOWN	ENSG00000011332.17	ENSG00000011332	DPF1	ENSMUSG00000030584	92	1	ENSG00000011332|DPF1	ME2
CA1_pyramidalNeuron	86.287587013807	15.0235263513062	ENSMUSG00000094437.1	protein_coding	KNOWN	ENSG00000169612.3	ENSG00000169612	FAM103A1	ENSMUSG00000094437	86	1	ENSG00000169612|FAM103A1	ME2
CA1_pyramidalNeuron	13.3647641929188	24.1991030283131	ENSMUSG00000031910.10	protein_coding	KNOWN	ENSG00000103044.8	ENSG00000103044	HAS3	ENSMUSG00000031910	97	1	ENSG00000103044|HAS3	ME2
CA1_pyramidalNeuron	14.5590159206655	12.5374414131965	ENSMUSG00000092083.4	protein_coding	KNOWN	ENSG00000182674.5	ENSG00000182674	KCNB2	ENSMUSG00000092083	93	1	ENSG00000182674|KCNB2	ME2
CA1_pyramidalNeuron	53.4731403867768	11.6776060774536	ENSMUSG00000022176.7	protein_coding	KNOWN	ENSG00000139890.7	ENSG00000139890	REM2	ENSMUSG00000022176	93	1	ENSG00000139890|REM2	ME2
CA1_pyramidalNeuron	143.160130551433	27.7658476949845	ENSMUSG00000025427.10	protein_coding	KNOWN	ENSG00000141622.11	ENSG00000141622	RNF165	ENSMUSG00000025427	99	1	ENSG00000141622|RNF165	ME2
CA1_pyramidalNeuron	80.204912382961	60.3904833915057	ENSMUSG00000006586.11	protein_coding	KNOWN	ENSG00000079102.14	ENSG00000079102	RUNX1T1	ENSMUSG00000006586	87	1	ENSG00000079102|RUNX1T1	ME2
CA1_pyramidalNeuron	80.0504763741852	10.0677744134323	ENSMUSG00000041852.10	protein_coding	KNOWN	ENSG00000100207.16	ENSG00000100207	TCF20	ENSMUSG00000041852	92	1	ENSG00000100207|TCF20	ME2
CA1_pyramidalNeuron	58.5909994103266	6.1197420594053	ENSMUSG00000042581.10	protein_coding	KNOWN	ENSG00000144229.9	ENSG00000144229	THSD7B	ENSMUSG00000042581	85	1	ENSG00000144229|THSD7B	ME2
CA1_pyramidalNeuron	41.6160116012485	7.06897226197476	ENSMUSG00000062961.6	protein_coding	KNOWN	ENSG00000267909.2	ENSG00000267909	CCDC177	ENSMUSG00000062961	91	1	ENSG00000267909|CCDC177	ME2
CA1_pyramidalNeuron	38.7745951793682	8.48832540659055	ENSMUSG00000036086.12	protein_coding	KNOWN	ENSG00000121988.15	ENSG00000121988	ZRANB3	ENSMUSG00000036086	77	1	ENSG00000121988|ZRANB3	ME20
CA1_pyramidalNeuron	19.1250139895003	14.9756015639727	ENSMUSG00000022441.13	protein_coding	KNOWN	ENSG00000186976.12	ENSG00000186976	EFCAB6	ENSMUSG00000022441	66	1	ENSG00000186976|EFCAB6	ME21
CA1_pyramidalNeuron	24.6696871337347	9.15978033851271	ENSMUSG00000031224.6	protein_coding	KNOWN	ENSG00000186675.6	ENSG00000186675	MAGEE2	ENSMUSG00000031224	84	1	ENSG00000186675|MAGEE2	ME22
CA1_pyramidalNeuron	14.6284722285358	5.93954771291705	ENSMUSG00000059857.11	protein_coding	KNOWN	ENSG00000162631.16	ENSG00000162631	NTNG1	ENSMUSG00000059857	96	1	ENSG00000162631|NTNG1	ME28
CA1_pyramidalNeuron	90.6143754424322	7.09949553179317	ENSMUSG00000039474.9	protein_coding	KNOWN	ENSG00000109501.11	ENSG00000109501	WFS1	ENSMUSG00000039474	87	1	ENSG00000109501|WFS1	ME3
CA1_pyramidalNeuron	98.3943090763993	31.6568968531745	ENSMUSG00000028176.7	protein_coding	KNOWN	ENSG00000033122.16	ENSG00000033122	LRRC7	ENSMUSG00000028176	96	1	ENSG00000033122|LRRC7	ME31
CA1_pyramidalNeuron	221.658357070919	74.6688679001063	ENSMUSG00000086040.4	protein_coding	KNOWN	ENSG00000122574.8	ENSG00000122574	WIPF3	ENSMUSG00000086040	72	1	ENSG00000122574|WIPF3	ME31
CA1_pyramidalNeuron	89.5535672926881	6.50691684495671	ENSMUSG00000024589.11	protein_coding	KNOWN	ENSG00000049759.14	ENSG00000049759	NEDD4L	ENSMUSG00000024589	98	1	ENSG00000049759|NEDD4L	ME32
CA1_pyramidalNeuron	56.6746150688271	5.52679772857344	ENSMUSG00000022773.12	protein_coding	KNOWN	ENSG00000100027.12	ENSG00000100027	YPEL1	ENSMUSG00000022773	98	1	ENSG00000100027|YPEL1	ME32
CA1_pyramidalNeuron	48.9477422168594	42.9029467769179	ENSMUSG00000045318.5	protein_coding	KNOWN	ENSG00000184160.7	ENSG00000184160	ADRA2C	ENSMUSG00000045318	93	1	ENSG00000184160|ADRA2C	ME36
CA1_pyramidalNeuron	246.63311187622	9.84761020034579	ENSMUSG00000044352.6	protein_coding	KNOWN	ENSG00000198944.5	ENSG00000198944	SOWAHA	ENSMUSG00000044352	72	1	ENSG00000198944|SOWAHA	ME40
CA1_pyramidalNeuron	33.4217565463857	10.5084873032213	ENSMUSG00000032586.5	protein_coding	KNOWN	ENSG00000183763.6	ENSG00000183763	TRAIP	ENSMUSG00000032586	79	1	ENSG00000183763|TRAIP	ME5
CA1_pyramidalNeuron	97.4355438177015	5.49282011424078	ENSMUSG00000050640.12	protein_coding	KNOWN	ENSG00000249242.5	ENSG00000249242	TMEM150C	ENSMUSG00000050640	96	1	ENSG00000249242|TMEM150C	ME60
CA1_pyramidalNeuron	155.658649881213	17.9374650187599	ENSMUSG00000030905.5	protein_coding	KNOWN	ENSG00000103316.8	ENSG00000103316	CRYM	ENSMUSG00000030905	88	1	ENSG00000103316|CRYM	ME63
CA1_pyramidalNeuron	14.8847618522408	15.4681332322854	ENSMUSG00000051920.6	protein_coding	KNOWN	ENSG00000147655.8	ENSG00000147655	RSPO2	ENSMUSG00000051920	93	1	ENSG00000147655|RSPO2	ME65
CA1_pyramidalNeuron	46.9466091071383	10.4557530318071	ENSMUSG00000062563.10	protein_coding	KNOWN	ENSG00000205795.4	ENSG00000205795	CYS1	ENSMUSG00000062563	56	1	ENSG00000205795|CYS1	ME7
endothelial	68.7939253809905	5.66489376357593	ENSMUSG00000042797.8	protein_coding	KNOWN	ENSG00000178301.3	ENSG00000178301	AQP11	ENSMUSG00000042797	83	1	ENSG00000178301|AQP11	ME10
endothelial	140.003676365668	8.00919799962316	ENSMUSG00000073775.4	protein_coding	KNOWN	ENSG00000198841.3	ENSG00000198841	KTI12	ENSMUSG00000073775	76	1	ENSG00000198841|KTI12	ME10
endothelial	276.256953304965	6.97010031774571	ENSMUSG00000039349.5	protein_coding	KNOWN	ENSG00000162817.6	ENSG00000162817	C1orf115	ENSMUSG00000039349	70	1	ENSG00000162817|C1ORF115	ME12
endothelial	1240.04516343813	22.1229497655432	ENSMUSG00000071847.8	protein_coding	KNOWN	ENSG00000154856.10	ENSG00000154856	APCDD1	ENSMUSG00000071847	92	1	ENSG00000154856|APCDD1	ME13
endothelial	50.6604288436752	10.2095610799594	ENSMUSG00000029710.11	protein_coding	KNOWN	ENSG00000196411.7	ENSG00000196411	EPHB4	ENSMUSG00000029710	93	1	ENSG00000196411|EPHB4	ME13
endothelial	16.3498493358006	5.10801076686394	ENSMUSG00000032796.7	protein_coding	KNOWN	ENSG00000101680.11	ENSG00000101680	LAMA1	ENSMUSG00000032796	76	1	ENSG00000101680|LAMA1	ME13
endothelial	1970.09060283571	19.911194059251	ENSMUSG00000017754.9	protein_coding	KNOWN	ENSG00000100979.12	ENSG00000100979	PLTP	ENSMUSG00000017754	81	1	ENSG00000100979|PLTP	ME13
endothelial	92.1701804745439	5.20240232651687	ENSMUSG00000000782.11	protein_coding	KNOWN	ENSG00000081059.17	ENSG00000081059	TCF7	ENSMUSG00000000782	66	1	ENSG00000081059|TCF7	ME13
endothelial	14.0562109389527	6.20447141652716	ENSMUSG00000048924.9	protein_coding	KNOWN	ENSG00000183323.10	ENSG00000183323	CCDC125	ENSMUSG00000048924	72	1	ENSG00000183323|CCDC125	ME14
endothelial	18.2745136585013	6.68739939163661	ENSMUSG00000027456.8	protein_coding	KNOWN	ENSG00000125775.12	ENSG00000125775	SDCBP2	ENSMUSG00000027456	78	1	ENSG00000125775|SDCBP2	ME14
endothelial	183.326897233315	5.82812791848301	ENSMUSG00000020846.6	protein_coding	KNOWN	ENSG00000183688.4	ENSG00000183688	FAM101B	ENSMUSG00000020846	82	1	ENSG00000183688|FAM101B	ME15
endothelial	79.289930011015	9.57012095154336	ENSMUSG00000017969.9	protein_coding	KNOWN	ENSG00000124212.5	ENSG00000124212	PTGIS	ENSMUSG00000017969	86	1	ENSG00000124212|PTGIS	ME15
endothelial	62.7337073168647	5.0082328415469	ENSMUSG00000027074.10	protein_coding	KNOWN	ENSG00000134802.15	ENSG00000134802	SLC43A3	ENSMUSG00000027074	72	1	ENSG00000134802|SLC43A3	ME15
endothelial	12.0282904396517	14.0067181122415	ENSMUSG00000022676.6	protein_coding	KNOWN	ENSG00000019549.6	ENSG00000019549	SNAI2	ENSMUSG00000022676	95	1	ENSG00000019549|SNAI2	ME2
endothelial	112.48090025448	38.0173644197564	ENSMUSG00000047821.12	protein_coding	KNOWN	ENSG00000108448.18	ENSG00000108448	TRIM16L	ENSMUSG00000047821	84	1	ENSG00000108448|TRIM16L	ME2
endothelial	29.3266513790262	286.073050395307	ENSMUSG00000050097.6	protein_coding	KNOWN	ENSG00000172831.9	ENSG00000172831	CES2	ENSMUSG00000050097	63	1	ENSG00000172831|CES2	ME22
endothelial	13.3284806860712	9.12649097313098	ENSMUSG00000026208.9	protein_coding	KNOWN	ENSG00000175084.9	ENSG00000175084	DES	ENSMUSG00000026208	97	1	ENSG00000175084|DES	ME23
endothelial	509.312330909955	9.39375798316011	ENSMUSG00000025986.6	protein_coding	KNOWN	ENSG00000196950.11	ENSG00000196950	SLC39A10	ENSMUSG00000025986	87	1	ENSG00000196950|SLC39A10	ME23
endothelial	150.84731340977	48.8537352658892	ENSMUSG00000038781.6	protein_coding	KNOWN	ENSG00000178078.9	ENSG00000178078	STAP2	ENSMUSG00000038781	63	1	ENSG00000178078|STAP2	ME24
endothelial	143.249996122312	15.9852508176325	ENSMUSG00000000317.7	protein_coding	KNOWN	ENSG00000161940.8	ENSG00000161940	BCL6B	ENSMUSG00000000317	90	1	ENSG00000161940|BCL6B	ME27
endothelial	83.4681500660298	45.9856699045191	ENSMUSG00000027474.8	protein_coding	KNOWN	ENSG00000101331.13	ENSG00000101331	CCM2L	ENSMUSG00000027474	78	1	ENSG00000101331|CCM2L	ME27
endothelial	126.423102338435	13.7371933327764	ENSMUSG00000073802.4	protein_coding	KNOWN	ENSG00000147883.10	ENSG00000147883	CDKN2B	ENSMUSG00000073802	82	1	ENSG00000147883|CDKN2B	ME27
endothelial	40.9066987982409	25.7248593513773	ENSMUSG00000033082.8	protein_coding	KNOWN	ENSG00000150048.8	ENSG00000150048	CLEC1A	ENSMUSG00000033082	67	1	ENSG00000150048|CLEC1A	ME27
endothelial	304.963166096043	86.1692271886858	ENSMUSG00000027314.6	protein_coding	KNOWN	ENSG00000128917.6	ENSG00000128917	DLL4	ENSMUSG00000027314	86	1	ENSG00000128917|DLL4	ME27
endothelial	46.5042401377453	763.856912101563	ENSMUSG00000043230.2	protein_coding	KNOWN	ENSG00000124019.9	ENSG00000124019	FAM124B	ENSMUSG00000043230	64	1	ENSG00000124019|FAM124B	ME27
endothelial	143.40267935721	27.4766863401012	ENSMUSG00000034258.3	protein_coding	KNOWN	ENSG00000119686.7	ENSG00000119686	FLVCR2	ENSMUSG00000034258	87	1	ENSG00000119686|FLVCR2	ME27
endothelial	18.380311139549	14.3103915947208	ENSMUSG00000050397.3	protein_coding	KNOWN	ENSG00000183770.5	ENSG00000183770	FOXL2	ENSMUSG00000050397	96	1	ENSG00000183770|FOXL2	ME27
endothelial	201.920968452559	118.137585322049	ENSMUSG00000038415.9	protein_coding	KNOWN	ENSG00000164379.5	ENSG00000164379	FOXQ1	ENSMUSG00000038415	80	1	ENSG00000164379|FOXQ1	ME27
endothelial	15.1473677000409	6.28217631897429	ENSMUSG00000027580.13	protein_coding	KNOWN	ENSG00000130589.14	ENSG00000130589	HELZ2	ENSMUSG00000027580	70	1	ENSG00000130589|HELZ2	ME27
endothelial	85.9736402022695	67.2476975481231	ENSMUSG00000009545.10	protein_coding	KNOWN	ENSG00000053918.13	ENSG00000053918	KCNQ1	ENSMUSG00000009545	88	1	ENSG00000053918|KCNQ1	ME27
endothelial	56.7839783889573	23.176284923176	ENSMUSG00000023903.7	protein_coding	KNOWN	ENSG00000008516.14	ENSG00000008516	MMP25	ENSMUSG00000023903	76	1	ENSG00000008516|MMP25	ME27
endothelial	10.9296216666523	5.09208812624902	ENSMUSG00000032278.7	protein_coding	KNOWN	ENSG00000137819.11	ENSG00000137819	PAQR5	ENSMUSG00000032278	92	1	ENSG00000137819|PAQR5	ME27
endothelial	139.682942719986	50.9887914625171	ENSMUSG00000024440.8	protein_coding	KNOWN	ENSG00000113555.5	ENSG00000113555	PCDH12	ENSMUSG00000024440	80	1	ENSG00000113555|PCDH12	ME27
endothelial	732.662256571764	169.92601645835	ENSMUSG00000031170.10	protein_coding	KNOWN	ENSG00000017483.12	ENSG00000017483	SLC38A5	ENSMUSG00000031170	88	1	ENSG00000017483|SLC38A5	ME27
